Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	Fstat nuisance Motion partial model	Fstat nuisance CSF partial model	pval nuisance model	pval nuisance Motion partial model	pval nuisance CSF partial model	R2stat nuisance model	R2stat nuisance Motion partial model	R2stat nuisance CSF partial model	Fstat task model	pval task model	R2stat task model	Var Exp of rejected to accepted	classification	classification_tags	external regressor correlation mot_x	external regressor correlation mot_y	external regressor correlation mot_z	external regressor correlation mot_pitch	external regressor correlation mot_roll	external regressor correlation mot_yaw	external regressor correlation mot_dx	external regressor correlation mot_dy	external regressor correlation mot_dz	external regressor correlation mot_dpitch	external regressor correlation mot_droll	external regressor correlation mot_dyaw	external regressor correlation csf1	external regressor correlation csf2	external regressor correlation csf3	external regressor correlation signal_checkerboard
ICA_00	55.264918496558224	17.407283252609787	0.3862004554554318	0.6465243517068832	3401	2544	0.6695652173913044	0.5266679787443417	13.59439292982348	1.1254555720137554e-37	1	5.4671660089254965	5.520484471582777	4.4932921756739885	1.1777451014438613e-08	1.0732861221995905e-07	0.0047984786598951	0.3644656010565998	0.3165932569955915	0.0861444731821102	14.62634379703634	0.0001886922922542	0.0852220205444294	15.241114159256398	accepted	Likely BOLD	0.13841323230385713	0.03333093897609107	-0.20136266893327184	-0.017895257480340376	0.1747703501901201	-0.07594931512911435	-0.03823223764994627	-0.15972014006645882	0.13313986222748692	-0.06638078311189204	-0.007074280555767845	0.2359934978831372	0.1813842266147453	-0.02170736663603906	0.05894339484354687	-0.29375088377860376
ICA_01	72.80472867027567	15.429031066206822	0.6118699674138993	1.3623770075044528	5585	4239	0.7587555886736215	0.6260035949670462	15.54368860202792	1.5670137420817514e-47	1	3.923728562454416	4.0096237161992425	3.2286732615137153	6.965623411070432e-06	2.367501990818699e-05	0.0243684839185144	0.2915739403474542	0.2517613091189737	0.063437502648961	0.1535521640066989	0.6956950183588424	0.0009770836350326	28.92483126164864	accepted	Likely BOLD	0.022751648284762425	0.030032177357321055	-0.0875919061109923	-0.07563345584364632	0.06817083264241096	0.0035787532894837825	0.014098644300622628	-0.20415102998432794	-0.12806976684846322	0.21249059564198236	-0.2849085896014281	0.27205627284085554	0.10899963891844736	0.0723352960016048	-0.17226803974121915	-0.04724008983081408
ICA_02	129.03669129751214	17.191404687592566	1.129469636571356	2.060074399711272	5814	4415	0.7761432116270826	0.664314171883893	12.522087052738511	1.8296598197265843e-31	1	4.372110989296528	3.689023253904277	3.3556934978024	1.0641524421650672e-06	7.54451541988832e-05	0.0206990887854573	0.3144172086742536	0.2363896292109149	0.065769076283132	1.7298182836924596	0.1903517460828563	0.0108978785611711	20.53108408545676	accepted	Likely BOLD	-0.05945139597630049	0.1277319775731007	0.02115725555158546	-0.08419072422798805	0.09534847708450261	-0.16380537836343598	0.04803935041680649	0.01904006251117729	0.07188104367451455	-0.23913777166982364	0.17623698644592123	-0.10704708571332801	-0.13372849343110446	0.051205257539457004	0.20314345189950603	-0.10931834569202684
ICA_03	21.57021265467941	24.112470155746916	1.0536177886188711	1.7186711213434114	2799	2356	0.4101995565410199	0.348832132722113	-0.9571582939749468	0.3387119559931053	1	6.293540037246312	5.394772548603629	3.9512033496408208	4.385539709161889e-10	1.6700237637223839e-07	0.0096259678606809	0.3976489790425244	0.3116305052121223	0.0765471986424958	0.157365459889134	0.6921324371213651	0.0010013241150271	n/a	rejected	Unlikely BOLD	-0.09975427490312018	0.13849484385849054	-0.23263418796813187	-0.12379861008913888	0.18214482501765422	-0.15661587317224754	-0.10080079732780406	0.08043094633365505	0.02730720182500338	0.04233319745484518	0.09062599576145058	0.06417444390975098	0.06173682104101644	0.11796321025157629	0.30778479838755174	-0.04604974960375181
ICA_04	30.099199444190376	17.64150724717666	0.2423364511092262	0.7224709753770489	5097	3830	0.7411926786065736	0.5901683501683501	7.085826641460642	2.5042538099466535e-12	1	4.227401918784974	4.35575618240043	2.052243203891156	1.948369856008547e-06	6.790379872612107e-06	0.1092590245851622	0.3072075613208396	0.2676771752308629	0.0412769147439903	1.8320608193481012	0.1778297930587161	0.0115345781569367	n/a	rejected	Unlikely BOLD	0.08335181557009731	-0.29201298307005824	0.02736815973479242	0.3224351135694697	-0.2811235459906432	0.2637904547327887	-0.08845600180868124	-0.09439047611132959	0.03436791158771037	-0.20013390876012024	0.24927107831618098	0.025705105638763312	-0.027450853117780293	-0.26555618062594144	-0.16582200449600976	-0.05389260163904151
ICA_05	21.71739048702721	14.71103061483157	0.1641329401162028	0.4141713557473725	2648	1781	0.501195219123506	0.3211465340742907	0.0	0.0	1	2.295943050052935	1.336768343276476	1.5320303858954307	0.0060064005612275	0.2040970690533343	0.2087933943174431	0.1940898982863814	0.1008620287701709	0.0311396536428325	0.1723410570527	0.6786063287010873	0.0010965100850036	n/a	rejected	Unlikely BOLD	0.17750070430381	0.008901474723173328	-0.09910513304557803	0.002189366030840201	0.023082200941364463	-0.02431227865518763	-0.13331905005031489	-0.07830419749518325	0.046084237249468286	-0.04400208141484418	0.024567809718829235	0.02286849343147559	-0.06792628437982628	-0.022344029512413592	0.22816480517041757	0.04529157268517261
ICA_06	64.53611742905849	14.831323493272086	0.2563620842677241	0.7564724505744137	4699	3072	0.7584587469313694	0.6367470895900118	15.604168466757637	7.049411899926587e-50	1	1.400491240476357	1.4373530596119188	2.2527331438992246	0.1545338426841256	0.1555499412736014	0.0848126121536779	0.1280879559592551	0.1076344867743034	0.0451274084313492	5.016209669141901	0.0265155324320919	0.0309611592530503	19.4644974794874	accepted	Likely BOLD	-0.11087604959498316	0.11417947854742781	0.1562020996714873	-0.10162606332981879	0.07584937522163838	-0.12177544147274705	0.10524241914692256	0.10999750087611293	0.013411211205584262	-0.10995645525225868	0.11599526657476725	-0.13411138692098284	-0.08204125659960447	0.0761978150844098	0.029910547811248748	0.1593291604514025
ICA_07	30.189938925170296	25.139357675982428	1.162960061871986	2.209477318837908	4198	3654	0.5417326672352869	0.4324861564674144	3.5772629988575257	0.0003621879292891	1	19.87261823364476	14.9799742179612	59.67943834912128	1.1102230246251563e-16	1.1102230246251563e-16	1.1102230246251563e-16	0.6758025901110798	0.5569459131427318	0.5559534585846773	1.9250971716603584	0.1672620906376464	0.0121132357690554	n/a	rejected	Unlikely BOLD,Fits CSF external regressors,External regressors,Fits motion external regressors	-0.14061593287233348	0.10524563557144875	-0.2589289006741925	-0.07259512299411071	0.10411895933375606	-0.13911286219963467	-0.15740174324859638	-0.04580703495185006	-0.11479020101155105	0.060231353571320596	0.007510564811504032	0.10054336605071305	-0.2621015011824765	0.23664351909527695	-0.2825197221201651	0.08245445516858237
ICA_08	109.5453325054324	16.096554583270514	0.7190015168931613	1.503161160010169	5587	3861	0.7657057000657339	0.6329583057577763	14.086802235445974	2.090756000188098e-40	1	3.822548301000659	4.520585237539249	1.4749083528047908	1.0660130266404444e-05	3.753228055791702e-06	0.2239204151989197	0.2862071112680443	0.2750207433629787	0.0300134530124519	9.975404304642232	0.0019031067992439	0.0597417586511266	30.55451284027717	accepted	Likely BOLD	-0.04041700439534432	-0.08935351910307616	0.2854251583827193	0.0481342914490687	-0.18844051256274255	0.13139080707498862	-0.11897050436012557	0.08876383842666422	0.31049690010918873	-0.1278910515752701	-0.06930917341914081	-0.09202976033618142	-0.0019333448144404526	-0.08879136199907595	-0.008210345640165448	-0.22892674816059183
ICA_09	40.632262671059166	14.7959560044503	0.1547812538254132	0.5871547129116038	3122	2382	0.6326083291181925	0.5369244135534318	11.29681654338599	3.7706008429794105e-27	1	2.5875653115491866	2.9413565472162495	2.264266574445279	0.0018553097834608	0.0011092683768997	0.0835821018461662	0.2134796591704579	0.1979641911225397	0.0453479722381983	6.813199295997703	0.0099246190402154	0.0415912717978652	17.15672300722225	accepted	Likely BOLD	0.16282898909709861	-0.08991434926885887	-0.17699842473203053	0.11820191767730788	-0.04497046539184903	0.074481937925409	0.1895893944209887	0.21881538656439742	-0.09211963303648538	-0.09687697087720418	0.1766034048031063	-0.18358688138739362	-0.09653703602846846	-0.07966563774009537	-0.13764493583887155	0.21556191699286525
