Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	30.018559057449565	16.328793746065536	60.61219589973304	37.727961002331575	7274	4187	0.5841068917018284	0.2649281013892274	1153	-2.7083662954647147	0.008193777551156552	36.1	1	40.97341983413714	accepted	n/a
PCA_01	63.568480410065014	23.568814603597268	7.122829196842037	7.75560032619917	8580	7001	0.6845205562640433	0.5387263339070568	1066	12.881057149934641	4.3945809500391115e-28	12.8	-1	8.502979315064913	accepted	n/a
PCA_02	109.52855232360908	29.969473126200782	8.388737967126774	5.81832207915878	9385	7228	0.7485613103142984	0.6352892102335929	208	1.5466247070988575	0.12300340114941274	11.0	1	6.364462273566571	accepted	n/a
PCA_03	109.70802190352566	19.82950179899234	4.020257529292198	4.8971854834560355	9949	7721	0.7555901426718548	0.6113006687593832	797	11.28781233245802	1.8016848278844448e-27	5.4	1	5.328454311919847	accepted	n/a
PCA_04	66.5473676630092	25.41621040658732	2.5078517285106527	3.1733792044612033	10024	8178	0.7285254937988057	0.6231589639410868	752	3.1192653112323794	0.0018710442403421965	11.6	-1	3.6927227654221344	accepted	n/a
PCA_05	130.26179886881533	21.308434420322374	2.059700083693885	2.8209288482731134	11095	8675	0.8047929483059407	0.6943486020226056	517	6.241550430002086	6.638492593799377e-10	4.6	-1	3.7813842227633683	accepted	n/a
PCA_06	65.30896023695485	20.43685170619159	1.4582710913262549	2.2078116842905593	10126	7851	0.750974140984768	0.6191274043294686	782	-0.5507432261778507	0.5819446088794642	14.4	1	2.6614896426934824	accepted	n/a
PCA_07	40.390801939777305	24.092220344564044	1.3704472904440668	1.8872375935456438	7996	6012	0.6493076260518121	0.5107628723953849	519	-1.1725439561921924	0.24124075130952205	22.4	-1	2.2422906680899293	accepted	n/a
PCA_08	86.60071154079863	22.62167744081777	1.6571149447002478	1.7262229822118742	11418	9275	0.7936836422530142	0.6971862438588655	569	9.570857941873467	7.064900135054108e-21	3.4	-1	2.9885564457789937	accepted	n/a
PCA_09	51.73143063852718	24.21054467669282	0.9236941693051122	1.573573788571007	8317	6797	0.646396539660327	0.5239272073691306	1061	8.906649647368642	1.7754410978485384e-16	18.0	1	1.7185866349578582	accepted	n/a
PCA_10	39.9688496684383	22.353230025218487	0.760596064916273	1.3890278091826826	7675	5780	0.6535535604139538	0.5184786508790814	857	5.707177312214202	1.718942170125269e-08	19.8	-1	1.561194274675215	accepted	n/a
PCA_11	51.36043658135114	20.68187278256764	0.7608872435388537	1.286585992464102	8054	5868	0.7122947065366747	0.560515172900494	950	8.592486691201744	1.4902009519406874e-16	13.6	1	1.406497831186782	accepted	n/a
PCA_12	40.93115027699568	30.484477799164317	0.6422274117461962	1.120833715127344	7898	6430	0.699632306326867	0.5693737373737374	1172	1.8717920506013845	0.06673913569567642	25.0	1	1.219082653978673	accepted	n/a
PCA_13	82.49393382968019	18.856429196345225	0.5764794185076	0.9368634881200899	8419	6535	0.7814282172080337	0.6725155279503106	665	10.319086768778973	6.645326847237394e-24	5.2	-1	1.037419582467775	accepted	n/a
PCA_14	66.38140581126018	20.579667625621877	0.5949619142017081	0.8681900852972326	8748	7550	0.7672064777327935	0.6727597854162527	919	9.067273608907675	1.8658161010302936e-18	8.0	-1	1.2462734650980447	accepted	n/a
PCA_15	51.4865713982898	17.982405327379087	0.4098349115238499	0.7841520057956025	7315	5592	0.7571260956587756	0.5983742841307962	1000	10.63210154249222	7.279929521625327e-23	12.2	1	0.8517881080769192	accepted	n/a
PCA_16	62.51170757107221	18.082466594495486	0.43953876459369295	0.7567094376569341	7788	6118	0.7589668094218416	0.6310798659364015	760	9.729269700052134	2.4253450086760998e-21	8.8	-1	0.8704180914707802	accepted	n/a
PCA_17	62.248099743679866	16.91608342516244	0.3455735818431747	0.7012615259923519	8052	5841	0.7900323624595469	0.6420670584168683	785	4.603024927593089	4.77617360221492e-06	11.8	-1	0.777288773793607	accepted	n/a
PCA_18	39.988475231969495	18.99898522889142	0.3362847286616049	0.650761037401757	6274	5057	0.7008840864440079	0.5557632398753894	996	10.291162790843902	6.651081650764292e-22	16.6	1	0.7156599534210412	accepted	n/a
PCA_19	44.93496774512329	17.481900847069642	0.3950834547425973	0.6182584217760148	6925	5384	0.7524250760098451	0.6064392119173474	830	5.767932000513539	1.1218516897015495e-08	15.2	1	0.759650548401916	accepted	n/a
PCA_20	48.32995702831503	17.495030932773048	0.47210096446356037	0.5746108912793355	6857	4850	0.7593559297110507	0.6024377318494966	948	5.8058185390927255	1.2291035967893756e-08	15.2	1	0.6832582379911584	accepted	n/a
PCA_21	39.92200785283127	16.472779135173393	0.2465523321259322	0.5124755803382175	5912	4783	0.7268615170494085	0.5805107968869889	897	12.83410894161079	2.2395353320709313e-33	14.2	-1	0.580999482309068	accepted	n/a
PCA_22	28.885071572342053	16.721489410871154	0.19261377547470807	0.4851693576507952	5347	3917	0.6668627450980392	0.5252578682888125	941	2.6188227786664	0.00909805002322783	25.0	-1	0.5307265327829735	accepted	n/a
PCA_23	35.65033812520695	17.76165373246741	0.24991779807746867	0.47214079322323593	5200	4094	0.6920597714620569	0.5444266928843554	1044	6.985482525144257	2.8668055162677586e-11	21.4	1	0.5126899876893094	accepted	n/a
PCA_24	45.16683343869938	15.108933960492111	0.23639247745487088	0.43652284359505766	6544	4653	0.7480106100795756	0.5980758347481607	926	12.744958061536142	2.125159765603613e-32	13.0	-1	0.5381113692686645	accepted	n/a
PCA_25	30.475572289068488	16.087145090936254	0.15639343990947013	0.3931061524222299	5013	4097	0.682614006514658	0.5743259955478605	1034	7.896022490818541	8.861129673783979e-14	22.0	-1	0.4362996742534195	accepted	n/a
PCA_26	26.1232647261393	16.540169267284313	0.18568230266377014	0.3804024808129748	4886	3973	0.6909924937447873	0.5554968287526427	964	-1.8724754386809144	0.061778536989729925	29.0	1	0.41957229032367416	accepted	n/a
PCA_27	23.10579328837325	15.597896051892922	0.16469378317234643	0.3628021813838346	4395	3263	0.6659762973190657	0.5039522503629618	1063	3.2958527121498062	0.0011360940894731524	29.2	1	0.3945649924651743	accepted	n/a
PCA_28	32.009055171297476	15.25167963592826	0.18238343401986012	0.3601240052731332	5270	4179	0.699566265060241	0.5768390386016023	1075	6.907798488503234	6.998922195960277e-11	22.8	1	0.42794594644758677	accepted	n/a
PCA_29	21.33064403717973	14.443499891809918	0.17855009756926798	0.3501640272292149	4332	3421	0.6454841713221602	0.4971046770601336	1047	1.148039277242096	0.2520627991435168	33.0	1	0.3903990625089201	accepted	n/a
PCA_30	27.562839993832707	14.14572320152021	0.19370522016761785	0.34174389681826484	4441	2840	0.6774522004751669	0.4785496320229761	1068	5.272572311554276	3.5233425831443527e-07	26.4	1	0.3824277453049721	accepted	n/a
