Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	53.72190116525917	17.48469307312564	0.3684869749219299	0.6409046428307759	3506	2646	0.6681260945709282	0.5180982195265115	13.96903736151071	1.5569674385583248e-39	1	8.352480827201314	accepted	Likely BOLD
ICA_01	72.04282272683136	15.34067976875024	0.5806926090120321	1.3383497907647686	5762	4354	0.7635840230298668	0.6233585124927368	15.730281283917439	6.512252034481328e-49	1	14.625979199384675	accepted	Likely BOLD
ICA_02	127.44378467691278	17.25373945607363	1.0607899696383623	2.0243643281360666	5981	4576	0.7704313523711517	0.6558620689655172	13.293750777424744	4.646424423023462e-35	1	16.90200772503253	accepted	Likely BOLD
ICA_03	20.60970186999107	23.694908019887748	1.0049291840014898	1.724279499463536	2932	2506	0.4190842362810206	0.34870550161812297	0.4388623900482553	0.6608461264722187	1	n/a	rejected	Unlikely BOLD
ICA_04	29.804007232485965	23.255523914696017	0.25792578461872556	0.7745961348245717	5364	4116	0.7381161542215715	0.6086307673174979	7.6542354330615945	3.953135411926803e-14	1	n/a	rejected	Unlikely BOLD
ICA_05	21.42627007793466	14.573399387260933	0.1580982431851867	0.40977372361688313	2760	1795	0.5059021922428331	0.31986143187066973	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_06	64.0178196211951	14.806334491032537	0.24501927776312332	0.7429113062766567	4835	3254	0.7487057808455565	0.6308153288124901	15.663262234501614	2.2015386702481446e-50	1	16.774154266160302	accepted	Likely BOLD
ICA_07	29.717674020757613	24.719364422749464	1.1066009204679592	2.1817475502455563	4310	3801	0.5451977401129944	0.43647234678624813	4.273332458647948	2.0870389352360843e-05	1	n/a	rejected	Unlikely BOLD
ICA_08	108.01022019448189	15.925324132332376	0.6802922746080151	1.478501648390604	5752	3957	0.7628734901462174	0.6297533401849948	14.129181948967414	6.501841774474979e-41	1	19.869046543537973	accepted	Likely BOLD
ICA_09	39.88476701394739	14.906686989355073	0.1475035656509066	0.5756502320970122	3247	2472	0.6379698040475426	0.5355751486569612	11.250179441357286	5.8659843651323744e-27	1	16.056569544895282	accepted	Likely BOLD
ICA_10	67.65324670125618	14.924820059779963	0.21629131242205815	0.6585889560864845	4241	2706	0.6683842473316157	0.5787805332836099	16.03599021445252	1.5651077304349096e-51	1	12.837128457122093	accepted	Likely BOLD
ICA_11	27.26715243041789	13.06251361792734	0.19294720786748512	0.48951132401778435	3733	2892	0.6776615714668812	0.5124289772727273	8.979202949249357	1.5566976256612628e-17	-1	n/a	rejected	Unlikely BOLD
ICA_12	48.9298592481807	28.035595719969866	0.957972549751613	1.703815820006047	6865	6041	0.6201972618872369	0.4746689448953439	7.298457715914055	2.9613045098122144e-12	1	n/a	rejected	Unlikely BOLD
ICA_13	98.47531803732001	17.219901116243072	0.47928578318957304	1.1325010276332177	6637	5000	0.8165095068789612	0.6827342613754415	7.308754146613318	6.035420810303409e-13	1	15.961642374791063	accepted	Likely BOLD
ICA_14	39.64439364694015	35.33111662337578	0.7129196030059478	1.3451193195863203	7159	6434	0.6660944206008583	0.5477799227799228	3.984150551869615	0.00014757392892198728	1	n/a	rejected	Unlikely BOLD
ICA_15	66.89300499980041	17.349904633104575	0.4137963365108589	1.693718113957575	6079	4144	0.733146530410417	0.5827946295375435	7.524481816415402	1.1521158050284472e-12	1	18.26344158911901	accepted	Likely BOLD
ICA_16	24.443057603798646	28.14885103396936	0.7275435243479191	1.6221671534908826	3964	3920	0.5027322404371585	0.4812070591405092	-1.4097423843342118	0.15888484359746394	1	n/a	rejected	Unlikely BOLD
ICA_17	125.09844466801763	19.625409809982497	2.05843464661587	3.2481342442094627	7865	6103	0.8077050813683162	0.700139470013947	5.7515950205909565	1.3278646249894849e-08	1	24.103850923213166	accepted	Likely BOLD
ICA_18	19.819042402048233	15.299478603001512	0.6733822014094066	1.0064696920652538	2789	2361	0.5251022685013016	0.3905912818299525	-5.527291304086435	1.4850755706486737e-07	1	n/a	rejected	Unlikely BOLD
ICA_19	81.91169167701192	18.8546490828973	1.2831982630533554	2.2040838228121347	5578	4296	0.7592991661201162	0.6645337125251807	12.142612049321839	1.0201468600486348e-30	1	14.428639476155613	accepted	Likely BOLD
ICA_20	57.219697577169036	15.897892409164086	0.3242431718518669	0.876729034577035	4529	3400	0.7021111970819056	0.5742193281041883	14.671506328864854	5.936017460321538e-45	1	14.623506700896282	accepted	Likely BOLD
ICA_21	19.666597423390336	19.850221625024357	0.2506977669423856	0.7460379605951653	2756	3069	0.5448480355819125	0.5094619055454994	-5.401440889907224	1.104164052514191e-07	1	n/a	rejected	Unlikely BOLD
ICA_22	81.64535198739823	16.219382287900455	0.5892662216982708	1.386306155227093	5084	3645	0.7567512895721654	0.6707199115655659	16.83441934161675	7.609532987869764e-56	1	19.526912978070875	accepted	Likely BOLD
ICA_23	115.2308622970019	20.10021165513269	0.6479960063049197	1.4868878405405013	4280	3052	0.7213308164228409	0.6297843891024569	14.849624245578438	2.6417241899855307e-39	1	23.657516353444173	accepted	Likely BOLD
ICA_24	27.39285757896543	14.014086462506334	0.8093494051241373	1.4005982651093267	4263	2494	0.5653735632183908	0.3669501822600243	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
