mot_x	mot_y	mot_z	mot_pitch	mot_roll	mot_yaw	mot_dx	mot_dy	mot_dz	mot_dpitch	mot_droll	mot_dyaw	csf1	csf2	csf3	signal_checkerboard
0.01898	-0.281929	-0.00674188	0.201851	-0.0401806	0.0997544	0.000184375	-0.00368813	-0.000104375	0.00290438	-0.00051875	0.00133312	0.0790435	-0.12143	0.0462059	0
0.00848	-0.286429	-0.00414188	0.175451	-0.0375806	0.111054	-0.0103156	-0.00818813	0.00249562	-0.0234956	0.00208125	0.0126331	0.0790461	-0.115638	0.0727818	0
0.01088	-0.276429	0.00235812	0.177851	-0.0322806	0.108854	0.00258437	0.00631188	0.00639563	0.00530438	0.00478125	-0.000866875	0.0789599	-0.132814	0.124625	0.0526548
0.02068	-0.276229	0.00315812	0.176251	-0.0297806	0.102954	0.00998438	-0.00348813	0.000695625	0.00130438	0.00198125	-0.00456688	0.0789544	-0.151203	0.128487	0.37117
0.02008	-0.279629	0.00655812	0.177451	-0.0251806	0.103554	-0.000415625	-0.00708812	0.00329563	0.00410437	0.00408125	0.00193313	0.0790313	-0.126848	0.0866489	0.714956
0.01618	-0.276429	0.00915812	0.179351	-0.0204806	0.100954	-0.00371563	-0.000488125	0.00249563	0.00480438	0.00418125	-0.00126687	0.0790153	-0.124303	0.0767705	0.900383
0.02158	-0.264429	0.000458125	0.175451	-0.0233806	0.0980544	0.00558438	0.00831187	-0.00880438	-0.000995625	-0.00341875	-0.00156687	0.0788909	-0.120101	0.0382712	0.970763
0.02668	-0.259129	-0.0115419	0.192251	-0.0271806	0.0955544	0.00528438	0.00161187	-0.0121044	0.0197044	-0.00431875	-0.00116688	0.0788695	-0.109519	-0.0019598	0.992416
0.02608	-0.247329	-0.00954188	0.194351	-0.0281806	0.0911544	-0.000415625	0.00811188	0.00189562	0.00500437	-0.00151875	-0.00306688	0.0790091	-0.10314	0.0506087	0.998211
0.02858	-0.245429	-0.00584188	0.208951	-0.0295806	0.0862544	0.00268438	-0.00178813	0.00359562	0.0175044	-0.00191875	-0.00356688	0.0789521	-0.125349	0.122931	0.999616
0.02638	-0.245029	-0.00704188	0.214851	-0.0311806	0.0796544	-0.00201563	-0.00328812	-0.00130437	0.00880438	-0.00211875	-0.00526687	0.0790571	-0.149479	0.172498	0.999932
0.02578	-0.182029	-0.00744188	0.188651	-0.0243806	0.0581544	-0.000415625	0.0593119	-0.000504375	-0.0232956	0.00628125	-0.0201669	0.0790752	-0.130647	0.179784	0.999999
